date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:55:42	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:42%20GMT	http://www.visualpath.in/devopstutorials/js/custom.js	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/js/custom.js	(from http://www.visualpath.in/devopstutorials/devops)
00:55:42	9281/9281	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202017%2012:25:22%20GMT	http://www.visualpath.in/devopstutorials/index.html	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/index.html	(from http://www.visualpath.in/devopstutorials/devops)
00:55:42	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:43%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/action-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/action-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:42	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:43%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/alert-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/alert-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:43	78601/78601	---M--	200	added ('OK')	application/javascript	date:Fri,%2024%20Nov%202017%2008:37:14%20GMT	http://www.visualpath.in/devopstutorials/js/jquery.js	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/js/jquery.js	(from http://www.visualpath.in/devopstutorials/devops)
00:55:43	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:43%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/arrow-d-l-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/arrow-d-l-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:43	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:44%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/arrow-d-r-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/arrow-d-r-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:43	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:44%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/arrow-d-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/arrow-d-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:43	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:44%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/arrow-l-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/arrow-l-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:44	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:44%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/arrow-r-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/arrow-r-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:44	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:45%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/arrow-u-l-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/arrow-u-l-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:44	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:45%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/arrow-u-r-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/arrow-u-r-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:44	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:45%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/arrow-u-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/arrow-u-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:45	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:45%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/audio-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/audio-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:45	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:46%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/back-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/back-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:45	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:46%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/bars-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/bars-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:45	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:46%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/bullets-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/bullets-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:46	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:46%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/calendar-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/calendar-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:46	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:46%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/camera-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/camera-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:46	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:47%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/carat-d-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/carat-d-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:46	252881/252881	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a47-3dbd1%22	http://code.jquery.com/jquery-1.7.2.js	C:/jenklly/mytrials/ops/visualpath/visualpath/code.jquery.com/jquery-1.7.2.js	(from http://www.visualpath.in/devopstutorials/devops)
00:55:46	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:47%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/carat-l-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/carat-l-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:46	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:47%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/carat-r-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/carat-r-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:47	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:47%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/carat-u-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/carat-u-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:47	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:48%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/check-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/check-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:47	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:48%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/clock-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/clock-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:47	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:48%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/cloud-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/cloud-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:48	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:48%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/comment-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/comment-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:48	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:49%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/delete-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/delete-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:48	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:49%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/edit-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/edit-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:48	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:49%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/eye-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/eye-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:49	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:49%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/forbidden-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/forbidden-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:49	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:49%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/forward-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/forward-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:49	200152/200152	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Nov%202017%2009:58:54%20GMT	http://www.visualpath.in/devopstutorials/js/jquery.mobile-1.4.5.min.js	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/js/jquery.mobile-1.4.5.min.js	(from http://www.visualpath.in/devopstutorials/devops)
00:55:49	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:50%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/gear-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/gear-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:49	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:50%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/grid-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/grid-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:50	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:50%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/heart-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/heart-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:50	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:50%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/home-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/home-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:50	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:51%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/info-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/info-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:50	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:51%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/location-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/location-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:50	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:51%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/lock-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/lock-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:51	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:51%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/mail-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/mail-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:51	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:52%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/minus-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/minus-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:51	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:52%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/navigation-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/navigation-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:51	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:52%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/phone-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/phone-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:51	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:52%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/plus-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/plus-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:52	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:52%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/power-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/power-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:52	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:53%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/recycle-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/recycle-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:52	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:53%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/refresh-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/refresh-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:52	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:53%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/search-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/search-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:53	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:53%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/shop-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/shop-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:53	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:54%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/star-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/star-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:53	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:54%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/tag-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/tag-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:53	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:54%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/user-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/user-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:53	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:54%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/video-white.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/video-white.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:54	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:54%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/action-black.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/action-black.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
00:55:54	219/219	---M--	302	error ('Found')	text/html	date:Fri,%2013%20Dec%202019%2019:25:55%20GMT	http://www.visualpath.in/devopstutorials/css/images/icons-png/alert-black.png	C:/jenklly/mytrials/ops/visualpath/visualpath/www.visualpath.in/devopstutorials/css/images/icons-png/alert-black.png	(from http://www.visualpath.in/devopstutorials/css/jquery.mobile-1.4.5.min.css)
